"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Test Sign up form from Contact Us page with negative scenario where all fields are filled with incorrect credentials","","0","0","1","0","0"
"","Chech that ""See pricing"" button navigate to ""Pricing"" page from the ""Global Numbers"" page","","0","0","1","0","0"
"","Test Sign In form from Sign Up page with negative scenario where all fields are filled with incorrect credentials","","0","0","1","0","0"
"","Test Sign In form from Sign Up page with negative scenario when all fields are left empty","","0","0","1","0","0"
"","Check that ""Confirm email"" page is loading after clicking ""SUBMIT"" button on Sign Up page with filling the correct data in the required fields, form opened via link from the ""SMS API"" page","","0","0","1","0","0"
"","Check ""Number pricing"" form changes depending on selected option in ""Pay as you go"" dropdown on ""Numbers pricing"" page","","0","0","1","0","0"
"","Test the ""Contact Us"" form with positive scenario, form opened via ""Talk to an expert"" link button from the ""g2-compare"" page","","0","0","1","0","0"
"","Test the ""Become a Telnyx Partner"" form with positive scenario, form opened via link from the Partnerships page","","0","0","1","0","0"
"","Chech that ""Mission Control"" link navigate to ""Mission Control"" page from the ""Why Telnyx"" dropdown","","0","0","1","0","0"
"","Test ""See use cases"" and ""See industries"" buttons functionality on ""Solutions"" page","","0","0","1","0","0"
"","Test the ""Contact Us"" form with positive scenario, form opened via link from the Global Numbers page","","0","0","1","0","0"
"","Test ""Become a Telnyx Partner"" form with negative scenario where all fields are filled with incorrect data","","0","0","1","0","0"
"","Test the Sign up form with positive scenario, form opened via link from the ""Global Numbers"" page","","0","0","1","0","0"
"","Chech that ""Telnyxs Terms & Conditions"" link navigate to ""Telnyxs Terms & Conditions"" page from the Sign up page","","1","0","0","0","0"
"","Chech that ""Privacy Policy"" link navigate to ""Privacy Policy"" page from the Sign up page","","0","0","1","0","0"
